                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5025,                 3.3527,                 2.2433,                0.41873,                0.13294,                0.16074,                    0.1,                 1.5978,                 2.7632,                 1.7148,               0.070316,              0.0032982,              0.0032982
                      1,                 1.6949,                 2.4037,                  1.635,                0.39887,                0.17822,                0.19792,                0.11161,                 1.6002,                 2.4535,                 1.7155,               0.040294,              0.0066097,              0.0066097
                      2,                 1.5779,                 2.3152,                 1.5239,                0.28105,                0.19915,                0.17353,                0.05717,                 2.3724,                 7.2309,                 2.8943,                0.01025,              0.0098991,              0.0098991
                      3,                 1.5257,                 2.2758,                 1.4808,                 0.3432,                0.18069,                0.18372,                 0.1061,                 1.6124,                 2.8207,                 1.6676,               0.009901,               0.009901,               0.009901
                      4,                 1.4561,                 2.1941,                 1.4329,                0.41706,                0.16017,                 0.1706,                0.08348,                 1.9862,                  2.593,                 2.1033,               0.009901,               0.009901,               0.009901
                      5,                  1.403,                 2.1497,                 1.4033,                0.44576,                0.18533,                0.20658,                0.11059,                 1.7931,                 2.4312,                 1.8515,               0.009868,               0.009868,               0.009868
                      6,                 1.3708,                 2.1092,                 1.3827,                0.52314,                0.16791,                0.19926,                0.13518,                 1.3155,                 2.4025,                  1.468,               0.009835,               0.009835,               0.009835
                      7,                 1.3331,                 2.0657,                 1.3599,                0.50573,                0.17032,                0.19272,                0.13041,                 1.4006,                 2.4631,                 1.5196,               0.009802,               0.009802,               0.009802
                      8,                 1.2987,                 2.0253,                 1.3518,                0.54039,                0.17753,                0.20729,                0.13744,                 1.4248,                 2.3408,                 1.5187,               0.009769,               0.009769,               0.009769
                      9,                 1.2902,                  1.975,                 1.3307,                0.53427,                0.17574,                0.20223,                0.14231,                 1.3052,                 2.3672,                 1.4231,               0.009736,               0.009736,               0.009736
                     10,                 1.2603,                 1.9287,                 1.3232,                0.52412,                0.17502,                0.19833,                0.14222,                 1.2472,                 2.3491,                 1.3935,               0.009703,               0.009703,               0.009703
                     11,                   1.24,                 1.8867,                 1.3102,                0.56002,                0.16399,                 0.2004,                0.13528,                 1.3379,                 2.3793,                  1.462,                0.00967,                0.00967,                0.00967
                     12,                 1.2288,                 1.8281,                 1.3031,                 0.5483,                0.16801,                0.20253,                0.14219,                 1.2616,                 2.3363,                 1.4234,               0.009637,               0.009637,               0.009637
                     13,                 1.2158,                 1.7675,                 1.2913,                0.53196,                0.16295,                 0.1966,                0.13877,                 1.2955,                 2.4685,                 1.4182,               0.009604,               0.009604,               0.009604
                     14,                 1.2028,                 1.7187,                   1.29,                0.48534,                0.16116,                0.19193,                0.13221,                 1.2859,                 2.3721,                 1.4208,               0.009571,               0.009571,               0.009571
                     15,                 1.1828,                 1.6648,                 1.2788,                0.49126,                0.16184,                0.19067,                0.12958,                 1.3785,                 2.4609,                 1.4894,               0.009538,               0.009538,               0.009538
                     16,                 1.1714,                 1.6225,                 1.2707,                0.48622,                0.17616,                0.20914,                0.14514,                 1.2945,                 2.4868,                 1.4722,               0.009505,               0.009505,               0.009505
                     17,                 1.1535,                 1.5721,                 1.2608,                0.50323,                0.16687,                0.19636,                0.13922,                 1.2608,                 2.4062,                 1.4229,               0.009472,               0.009472,               0.009472
                     18,                 1.1353,                 1.5234,                 1.2514,                0.53736,                0.17069,                0.20461,                0.14201,                 1.2851,                 2.3413,                 1.4447,               0.009439,               0.009439,               0.009439
                     19,                 1.1314,                 1.4962,                 1.2464,                0.40893,                0.16019,                0.17794,                0.12416,                 1.3018,                 2.5262,                 1.4455,               0.009406,               0.009406,               0.009406
                     20,                 1.1104,                 1.4302,                 1.2388,                0.49419,                0.15831,                 0.1925,                0.13574,                 1.3084,                 2.5689,                 1.4565,               0.009373,               0.009373,               0.009373
                     21,                 1.1059,                 1.4055,                 1.2289,                0.50832,                0.16481,                0.19205,                0.13645,                 1.2837,                 2.4235,                 1.4494,                0.00934,                0.00934,                0.00934
                     22,                 1.0862,                 1.3639,                  1.219,                0.42028,                0.16832,                 0.1884,                0.12977,                 1.2879,                 2.4643,                 1.4525,               0.009307,               0.009307,               0.009307
                     23,                 1.0772,                 1.3282,                 1.2149,                0.46983,                0.16533,                0.19109,                0.13411,                 1.2984,                 2.5183,                 1.4621,               0.009274,               0.009274,               0.009274
                     24,                 1.0685,                 1.2876,                 1.2107,                0.43707,                0.16543,                0.19029,                0.13536,                 1.3169,                 2.5655,                 1.4602,               0.009241,               0.009241,               0.009241
                     25,                 1.1952,                 1.4194,                 1.2381,                0.47537,                0.16863,                0.19191,                0.12567,                 1.4633,                 2.5424,                 1.5397,               0.009208,               0.009208,               0.009208
                     26,                 1.1481,                 1.3628,                  1.221,                0.41784,                0.16017,                 0.1827,                0.12919,                 1.3276,                 2.6699,                 1.5156,               0.009175,               0.009175,               0.009175
                     27,                 1.1423,                 1.3377,                 1.2136,                0.45939,                0.17337,                0.19368,                0.13485,                 1.3268,                 2.5187,                 1.4871,               0.009142,               0.009142,               0.009142
                     28,                 1.1207,                 1.2929,                 1.2002,                0.51328,                0.16399,                0.19499,                0.13717,                 1.3223,                 2.5784,                 1.5085,               0.009109,               0.009109,               0.009109
                     29,                 1.1112,                 1.2721,                 1.1925,                0.44115,                0.16718,                0.18744,                 0.1321,                 1.2852,                 2.5331,                 1.4459,               0.009076,               0.009076,               0.009076
                     30,                 1.1127,                 1.2525,                 1.1933,                 0.4329,                0.16491,                0.18812,                0.13137,                 1.3116,                 2.6256,                 1.4771,               0.009043,               0.009043,               0.009043
                     31,                  1.092,                 1.2318,                 1.1873,                0.44244,                0.15728,                0.17728,                0.12464,                 1.3157,                 2.6643,                 1.4705,                0.00901,                0.00901,                0.00901
                     32,                 1.0811,                 1.2034,                 1.1809,                0.37486,                0.18049,                  0.193,                0.13325,                 1.3526,                 2.6194,                 1.5033,               0.008977,               0.008977,               0.008977
                     33,                 1.0751,                 1.1896,                 1.1754,                0.45214,                0.15573,                0.17564,                0.12503,                  1.343,                 2.7576,                 1.4794,               0.008944,               0.008944,               0.008944
                     34,                 1.0697,                  1.187,                 1.1742,                0.47236,                0.15212,                0.17477,                 0.1247,                 1.3441,                 2.7953,                 1.5052,               0.008911,               0.008911,               0.008911
                     35,                 1.0552,                 1.1549,                 1.1675,                0.42323,                0.16656,                0.18871,                0.12949,                 1.3621,                 2.6597,                 1.5515,               0.008878,               0.008878,               0.008878
                     36,                 1.0462,                 1.1408,                 1.1607,                0.45505,                0.16068,                0.17896,                0.12622,                 1.3185,                 2.7101,                 1.4762,               0.008845,               0.008845,               0.008845
                     37,                 1.0348,                 1.1165,                  1.156,                0.39217,                0.15842,                0.17223,                0.12045,                 1.3781,                 2.8282,                 1.5113,               0.008812,               0.008812,               0.008812
                     38,                 1.0273,                 1.0925,                  1.153,                0.40416,                0.16852,                0.18578,                0.13135,                 1.2865,                 2.6718,                 1.4337,               0.008779,               0.008779,               0.008779
                     39,                 1.0207,                  1.077,                 1.1456,                0.44578,                0.16284,                0.18193,                0.12781,                 1.3654,                 2.7492,                 1.5058,               0.008746,               0.008746,               0.008746
                     40,                 1.0152,                  1.072,                 1.1396,                0.43139,                0.16353,                0.18061,                0.12815,                 1.3059,                 2.7012,                 1.4871,               0.008713,               0.008713,               0.008713
                     41,                 1.0128,                 1.0684,                 1.1428,                0.40458,                 0.1545,                0.17297,                0.11963,                 1.3807,                 2.7899,                 1.5312,                0.00868,                0.00868,                0.00868
                     42,                  1.002,                 1.0367,                 1.1378,                0.40695,                0.16233,                0.17967,                0.12605,                 1.3158,                 2.7757,                 1.4528,               0.008647,               0.008647,               0.008647
                     43,                0.99783,                 1.0322,                 1.1351,                0.45055,                0.16058,                0.18757,                0.13418,                 1.2972,                 2.5977,                 1.4414,               0.008614,               0.008614,               0.008614
                     44,                0.98511,                 1.0212,                 1.1293,                0.45785,                0.15347,                0.17451,                0.12665,                 1.3256,                 2.8189,                 1.4579,               0.008581,               0.008581,               0.008581
                     45,                0.98798,                 1.0046,                 1.1274,                 0.4316,                0.16295,                0.18304,                0.12903,                  1.299,                  2.675,                 1.4357,               0.008548,               0.008548,               0.008548
                     46,                0.97931,                0.98256,                 1.1187,                  0.413,                0.15563,                0.17671,                0.12501,                 1.3233,                 2.6822,                 1.4601,               0.008515,               0.008515,               0.008515
                     47,                0.97193,                0.98486,                 1.1229,                0.45438,                0.16259,                 0.1859,                0.13124,                 1.3469,                 2.7057,                 1.4755,               0.008482,               0.008482,               0.008482
                     48,                0.96344,                 0.9684,                 1.1136,                0.44295,                 0.1514,                0.17357,                0.12274,                  1.332,                 2.8025,                 1.4819,               0.008449,               0.008449,               0.008449
                     49,                0.96227,                0.95667,                 1.1158,                0.47252,                0.16566,                0.18838,                0.13716,                 1.3311,                 2.6666,                 1.4868,               0.008416,               0.008416,               0.008416
                     50,                0.94617,                0.93653,                 1.1035,                0.40071,                0.15821,                0.17763,                0.12329,                 1.3758,                 2.7101,                 1.5424,               0.008383,               0.008383,               0.008383
                     51,                0.95148,                0.93179,                 1.1089,                0.37425,                 0.1513,                0.16531,                0.11804,                 1.3522,                 2.8001,                  1.509,                0.00835,                0.00835,                0.00835
